Building Number,Building Name,Building,State,A10 Cleaning,A30 Utilities/Fuel,A40 Mechanic Oper-Maint,Grand Total,Overall Satisfaction,Occupancy,Building Sq Ft,Zip Code,Zip
IL0054ZZ,Federal Building,IL0054ZZ-Federal Building,IL,1056354.89,391428.48,773895.52,2221678.89,5,730,577223,60605-1509,60605
MO0544AD,Fed Bldg No 1,MO0544AD-Fed Bldg No 1,MO,765441.16,731084.88,702511.76,2199037.80,4,455,1060933,64131-3009,64131
OH0189CN,John Weld Peck,OH0189CN-John Weld Peck,OH,1001965.96,474308.84,674431.61,2150706.41,4,1500,689771,45202-3222,45202
FL0012ZZ,Sam M. Gibbons Us Co,FL0012ZZ-Sam M. Gibbons Us Co,FL,680346.49,763496.14,684777.70,2128620.33,1,240,362364,33602-3849,33602
IN0133ZZ,Minton-Capehart F/B,IN0133ZZ-Minton-Capehart F/B,IN,934285.66,453075.05,732524.63,2119885.34,4,715,400312,46204-1563,46204
NJ0144ZZ,"Mlk, Jr Courthouse","NJ0144ZZ-Mlk, Jr Courthouse",NJ,602495.78,307749.65,1207230.71,2117476.14,5,360,308475,07102-3551,07102
WI0044ZZ,Fed Bldg & Us Cthse,WI0044ZZ-Fed Bldg & Us Cthse,WI,1029850.52,539047.54,544922.86,2113820.92,5,320,427773,53202-4500,53202
TX0211ZZ,B Casey Courthouse,TX0211ZZ-B Casey Courthouse,TX,768432.17,491615.25,846475.17,2106522.59,4,295,496481,77002-2600,77002
NV0304ZZ,Lloyd D. George Cour,NV0304ZZ-Lloyd D. George Cour,NV,629829.17,546901.46,884110.36,2060840.99,4,323,368969,89101-7065,89101
PA0144ZZ,Us Customhouse,PA0144ZZ-Us Customhouse,PA,822765.45,770748.78,460207.61,2053721.84,4,771,435830,19106-2912,19106
OH0028CN,Potter Stewart U.S.,OH0028CN-Potter Stewart U.S.,OH,710086.39,672146.62,634321.68,2016554.69,5,250,437718,45202-3905,45202
AZ0307ZZ,Evo A. Deconcini Cou,AZ0307ZZ-Evo A. Deconcini Cou,AZ,775034.81,591995.28,626635.42,1993665.51,4,200,349032,85701-5000,85701
KY0086ZZ,Romano Mazzoli Fb,KY0086ZZ-Romano Mazzoli Fb,KY,813049.92,638113.07,528374.07,1979537.06,4,1200,417326,40202-2239,40202
OR0052ZZ,Mark O. Hatfield U.S,OR0052ZZ-Mark O. Hatfield U.S,OR,647614.82,496113.07,801777.47,1945505.36,5,325,451482,97204-2930,97204
GA0010AE,Irs Annex,GA0010AE-Irs Annex,GA,638463.96,536527.65,761020.59,1936012.20,2,1300,387628,30341-3446,30341
IN0048ZZ,Birch Bayh Fed Bldg,IN0048ZZ-Birch Bayh Fed Bldg,IN,902257.84,475392.56,473170.89,1850821.29,5,297,359292,46204-1903,46204
CO0061ZZ,Alfred A. Arraj,CO0061ZZ-Alfred A. Arraj,CO,413106.70,591360.29,844669.05,1849136.04,2,120,252710,80294-2500,80294
TN0088ZZ,Clifford Davis-Odell,TN0088ZZ-Clifford Davis-Odell,TN,654757.13,574629.64,590516.45,1819903.22,1,250,370149,38103-1816,38103
CA0093ZZ,Federal Office Bldg,CA0093ZZ-Federal Office Bldg,CA,830090.69,343023.37,643521.72,1816635.78,4,500,291036,94102-4912,94102
AR0063RK,Little Rock Federal,AR0063RK-Little Rock Federal,AR,499020.88,544680.13,767580.87,1811281.88,4,870,347697,72201-3225,72201
MN0087ZZ,W E Burger Fb & Us C,MN0087ZZ-W E Burger Fb & Us C,MN,789802.12,649714.88,364276.77,1803793.77,2,219,342289,55101-1495,55101
CO0055ZZ,David Skaggs Researc,CO0055ZZ-David Skaggs Researc,CO,665146.53,82000.00,1043956.62,1791103.15,2,800,369568,80305-3337,80305
DC0501BC,Sidney Yates (Audito,DC0501BC-Sidney Yates (Audito,DC,642100.82,458712.49,654800.82,1755614.13,2,650,15232,20024-0000,20024
CO0624AA,Dfc Bldg 810,CO0624AA-Dfc Bldg 810,CO,869461.59,143021.43,709634.37,1722117.39,3,310,673643,80225-0546,80225
SC0068AA,Strom Thurmond Fb,SC0068AA-Strom Thurmond Fb,SC,640202.99,583399.25,486603.09,1710205.33,3,475,333926,29201-2430,29201
NE0531ZZ,Robert Denney Fb&Ct,NE0531ZZ-Robert Denney Fb&Ct,NE,637360.40,414882.42,657554.63,1709797.45,5,400,376156,68508-3859,68508
NE0051ZZ,Edward Zorinsky Fed,NE0051ZZ-Edward Zorinsky Fed,NE,608738.72,628184.85,468770.81,1705694.38,4,250,356791,68102-4908,68102
GA0007ZZ,M. L. King Jr. Fb,GA0007ZZ-M. L. King Jr. Fb,GA,493603.16,472570.24,689759.64,1655933.04,5,400,336592,30303-3458,30303
WV0163ZZ,Robert C. Byrd Fb &,WV0163ZZ-Robert C. Byrd Fb &,WV,711973.63,408464.98,520025.11,1640463.72,5,252,319651,25301-2503,25301
IA0112ZZ,Neal Smith Federal B,IA0112ZZ-Neal Smith Federal B,IA,686230.86,244169.17,701754.18,1632154.21,5,475,345360,50309-2115,50309
MD0767AG,Noaa Satellite Opera,MD0767AG-Noaa Satellite Opera,MD,570144.75,127755.23,927785.71,1625685.69,1,500,19835,20746-0000,20746
CO0516AA,Dfc Bldg 41,CO0516AA-Dfc Bldg 41,CO,484415.44,402880.17,727534.50,1614830.11,4,410,490923,80225-0000,80225
CA0152ZZ,John E. Moss Federal,CA0152ZZ-John E. Moss Federal,CA,560641.40,286886.98,756169.18,1603697.56,4,531,326958,95814-4708,95814
CA0289JJ,New Commercial Fac,CA0289JJ-New Commercial Fac,CA,572240.90,320051.79,708160.70,1600453.39,4,75,144257,92154-7209,92154
MS0007ZZ,U.S. Courthouse,MS0007ZZ-U.S. Courthouse,MS,587753.84,342730.40,665921.41,1596405.65,4,320,391877,39201-0000,39201
FL0067ZZ,Chas. E. Bennett Fb,FL0067ZZ-Chas. E. Bennett Fb,FL,563326.18,538087.82,484612.51,1586026.51,4,768,299941,32202-4410,32202
MO0039ZZ,Federal Bg,MO0039ZZ-Federal Bg,MO,520158.28,779142.18,264059.93,1563360.39,4,400,406567,64131-3061,64131
FL0025ZZ,U.S. Courthouse Anne,FL0025ZZ-U.S. Courthouse Anne,FL,545267.33,569874.00,446515.37,1561656.70,4,296,318503,32801-0401,32801
